generated_status,decision,reviewer,review_notes,hr_rank,hr_frequency,ekavian_lemma,ijekavian_lemma,ikavian_suggestion,rule,family_anchor,upos,compatible_msd_slots,changed_surface_pairs,ambiguous_msd_slots,reasons
review,,,,7339,8234,verodostojan,vjerodostojan,virodostojan,je→e,verodostojni↔vjerodostojni,ADJ,64,64,32,ambiguous-surface-variants
known,,,,7343,8230,podlegati,podlijegati,podligati,ije→e,,ADV|VERB,23,23,0,no-higher-trust-family-anchor
review,,,,7370,8206,semenka,sjemenka,simenka,je→e,,NOUN,11,11,3,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,7375,8201,sedenje,sjedenje,sidenje,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7378,8189,komplement,kompliment,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,7385,8177,razmerno,razmjerno,razmirno,je→e,srazmerno↔srazmjerno,ADV,3,3,0,
review,,,,7388,8173,posvedočiti,posvjedočiti,posvidočiti,je→e,posed↔posjed,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7391,8172,prestanak,pristanak,,i→e,,NOUN,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7398,8160,mehur,mjehur,mihur,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7403,8154,dernuti,dirnuti,,i→e,,ADJ|ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7420,8127,dečica,dječica,dičica,je→e,,NOUN,7,7,0,no-higher-trust-family-anchor
review,,,,7450,8081,neizvesnost,neizvjesnost,neizvisnost,je→e,savesnost↔savjesnost,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7464,8052,propoved,propovijed,propovid,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7482,8022,merodavan,mjerodavan,mirodavan,je→e,merodavni↔mjerodavni,ADJ,64,64,32,ambiguous-surface-variants
review,,,,7498,7999,nasmešiti,nasmiješiti,nasmišiti,ije→e,rešiti↔riješiti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7500,7995,osvetliti,osvijetliti,osvitliti,ije→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7512,7980,verodostojnost,vjerodostojnost,virodostojnost,je→e,verodostojni↔vjerodostojni,NOUN,13,13,1,ambiguous-surface-variants
known,,,,7516,7971,potkrepiti,potkrijepiti,potkripiti,ije→e,,ADJ|ADV|VERB,60,60,16,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7531,7937,cenik,cjenik,cinik,je→e,zamenik↔zamjenik,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7540,7925,svetlosni,svjetlosni,svitlosni,je→e,mesni↔mjesni,ADJ,27,27,16,ambiguous-surface-variants
accepted,,,,7548,7918,umeti,umjeti,umiti,je→e,razumeti↔razumjeti,ADV|VERB,23,18,0,
review,,,,7560,7897,dotecati,doticati,,i→e,,ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7579,7862,maloletan,maloljetan,malolitan,je→e,maloletni↔maloljetni,ADJ,64,64,32,ambiguous-surface-variants
review,,,,7596,7838,zdelica,zdjelica,zdilica,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7603,7833,posedovanje,posjedovanje,posidovanje,je→e,posed↔posjed,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7628,7792,blesak,bljesak,blisak,je→e,,NOUN,6,6,8,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7631,7784,rutenski,rutinski,,i→e,,ADJ|ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7639,7769,pešice,pješice,pišice,je→e,,ADV,1,1,0,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
accepted,,,,7659,7736,zasesti,zasjesti,zasisti,je→e,zaposesti↔zaposjesti,ADV|VERB,23,23,0,
review,,,,7668,7724,zavesa,zavjesa,zavisa,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,7674,7716,nasleđe,nasljeđe,nasliđe,je→e,nasleđivanje↔nasljeđivanje,NOUN,13,13,1,competing-ijekavian-targets|ambiguous-surface-variants
review,,,,7686,7701,serijski,sirijski,,i→e,,ADJ|ADV,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7687,7701,veriti,viriti,,i→e,,ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7695,7685,preko,prijeko,priko,ije→e,pre↔prije,ADV,3,3,0,manually-blocked-semantic-lookalike
review,,,,7704,7667,razmeniti,razmijeniti,razminiti,ije→e,izmeniti↔izmijeniti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7707,7663,veštica,vještica,vištica,je→e,veština↔vještina,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7717,7647,pleniti,plijeniti,pliniti,ije→e,ceniti↔cijeniti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7741,7616,levičar,ljevičar,livičar,je→e,,NOUN,11,11,3,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7752,7602,uteloviti,utjeloviti,utiloviti,je→e,celoviti↔cjeloviti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7758,7597,neuspešan,neuspješan,neuspišan,je→e,,ADJ,91,91,48,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7760,7596,retkost,rijetkost,ritkost,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7774,7576,poslepodnevni,poslijepodnevni,poslipodnevni,ije→e,posle↔poslije,ADJ,27,27,16,ambiguous-surface-variants
accepted,,,,7810,7531,odleteti,odletjeti,odletiti,je→e,hteti↔htjeti,ADV|VERB,23,13,0,
review,,,,7813,7529,zapleniti,zaplijeniti,zapliniti,ije→e,ceniti↔cijeniti,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7816,7525,plen,plijen,plin,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
accepted,,,,7830,7497,poskupeti,poskupjeti,poskupiti,je→e,uspeti↔uspjeti,ADV|VERB,23,13,0,
review,,,,7833,7494,rivera,rivijera,rivira,ije→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,7842,7483,posredi,posrijedi,posridi,ije→e,posle↔poslije,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7861,7461,delić,djelić,dilić,je→e,delimično↔djelimično,NOUN,13,13,1,ambiguous-surface-variants
review,,,,7869,7450,savetodavan,savjetodavan,savitodavan,je→e,savet↔savjet,ADJ,37,37,16,ambiguous-surface-variants
review,,,,7874,7446,ulevati,ulijevati,ulivati,ije→e,podrazumevati↔podrazumijevati,ADJ|ADV|VERB,60,60,16,ambiguous-surface-variants
review,,,,7925,7368,telovežba,tjelovježba,tilovižba,je→e+je→e,,NOUN,0,0,14,no-higher-trust-family-anchor|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs|ambiguous-surface-variants
review,,,,7951,7325,severozapadni,sjeverozapadni,siverozapadni,je→e,,ADJ,27,27,16,no-higher-trust-family-anchor|ambiguous-surface-variants
accepted,,,,7957,7320,svetliti,svijetliti,svitliti,ije→e,svest↔svijest,ADV|VERB,23,23,0,
review,,,,7974,7293,verno,vjerno,virno,je→e,namerno↔namjerno,ADV,1,1,0,fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7976,7291,proderati,prodirati,,i→e,,ADV|VERB,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,7977,7289,železan,željezan,želizan,je→e,želeti↔željeti,ADJ,64,64,32,ambiguous-surface-variants
review,,,,7979,7287,smešak,smiješak,smišak,ije→e,smeh↔smijeh,NOUN,13,13,1,ambiguous-surface-variants
review,,,,8003,7248,presilan,prisilan,,i→e,,ADJ,0,0,0,i-reflex-review-only|competing-ijekavian-targets|competing-ekavian-sources|fewer-than-three-compatible-msd-slots|fewer-than-two-changed-surface-pairs
review,,,,8043,7209,svetiljka,svjetiljka,svitiljka,je→e,,NOUN,11,11,3,no-higher-trust-family-anchor|ambiguous-surface-variants
review,,,,8068,7177,lepilo,ljepilo,lipilo,je→e,,NOUN,13,13,1,no-higher-trust-family-anchor|ambiguous-surface-variants
known,,,,8069,7176,presek,presjek,presik,je→e,presedatelj↔presjedatelj,NOUN,13,13,1,ambiguous-surface-variants
